,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Hide these columns. There should be no need to alter them (mostly).
Customization and homebrew are mostly handled by the Info pages.",,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.1,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,Wildfire Druid 6 Draconic Bloodline Sorcerer 1,,,,,,,,,,,,,,,,,,LEVEL,,,,,Wood Elf,"dex +2, wis +1",-,35,-,"Fey Ancestry
You have advantage on saving throws against being charmed, and magic can’t put you to sleep.","Common, Elvish",-,"Longsword, Shortsword, Shortbow, Longbow","Keen Senses
You gain proficiency in the Perception skill.",,,10+dex
,,Fal'Cie,,,,,,,,,,,,,,,,,CLASS(ES) & LEVEL(S),,,,,,,,,,,PLAYER NAME,,,,,,,7,,,,,d8,Druid,Wildfire,6,33,"Intelligence, Wisdom, Choose 2, Arcana, Animal Handling, Insight, Medicine, Nature, Perception, Religion, Survival, Club, Dagger, Dart, Javelin, Mace, Quarterstaff, Scimitar, Sickle, Sling, Spear","Light Armor, Medium Armor, Shields, NoMetal, Druidic, 1 Tool (Herbalism Kit)",Full Caster,Wisdom,0,,,
,,,,,,,,,,,,,,,,,,,Wood Elf,,,,,,,,,,,"23,000",,,"34,000",,,,,,,,,d6,Sorcerer,Draconic Bloodline,1,5,,-,Full Caster,Charisma,0,13+dex,,
,,,,,,,,,,,,,,,,,,,RACE,,,,,,,,,,,EXPERIENCE,,,NEXT LEVEL,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,HP,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,INSPIRATION,,,,,,,,,,, ,,,,,,,,,BACKGROUND:,,,,,Hermit,,,,,,,,,,,,,,,,,,,
,,STR,,,,,,,,,,,,,,,18,,,,+5,,,,35 ft,,,,,I'm oblivious to etiquette and,,,,,,,,,,,,,,,,,,,,,,,,
,,+0,,,,,,,,,,,,,,,,,,,,,,,,,,,,social expectations.,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,+3,,,PROFICIENCY BONUS,,,,,,,AC,,,,INIT,,,,SPEED,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,PERSONALITY TRAITS,,,,,,,,,,,,,,,,,,,,,,,,
,,11,,,FALSE,,,,,,,,,,,,Hit Point Max,,,66,,,,,,,,,,Live and Let Live.,,,,,,,,,,,,"Medicine, Religion",Perception,3,7,38,Druid,"Intelligence, Wisdom, Choose 2, Arcana, Animal Handling, Insight, Medicine, Nature, Perception, Religion, Survival, Club, Dagger, Dart, Javelin, Mace, Quarterstaff, Scimitar, Sickle, Sling, Spear, Light Armor, Medium Armor, Shields, NoMetal, Druidic, 1 Tool (Herbalism Kit), -, Longsword, Shortsword, Shortbow, Longbow",,,,13+dex,,
,,DEX,,,FALSE,,〇,+0,Strength,,,,,,,,66,,,,,,,,,,,,,Meddling in the affairs of ,,,,,,,,,,,,0,Perception,,,,,"Animal Handling, Arcana, Insight, Nature, Survival",,,,,,
,,+5,,,FALSE,,〇,+5,Dexterity,,,,,,,,,,,,,,,,,,,,,others only causes trouble. (Neutral),,,,,,,,,,,,0,,1,,,,,,,,,,
,,,,,FALSE,,〇,+4,Constitution,,,,,,,,CURRENT HIT POINTS,,,,,,,,,,,,,IDEALS,,,,,,,,,,,,,,2,,,,,,,,,,
,,20,,,FALSE,,◉,+4,Intelligence,,,,,,,,Condition,,,,,,,,,,,,,Nothing is more important than the other ,,,,,,,,,,,,,,,,,,,,,,,,
,,18,,,FALSE,,◉,+8,Wisdom,,,,,,,,,,,,,,,,,,,,,"members of my hermitage, ",,,,,,,,,,,,,,,,,,,,,,,,
,,CON,,,FALSE,,〇,+1,Charisma,,,,,,,,,,,,,,,,,,,,,"order, or association.",,,,,,,,,,,,,,,,,,,,,,,,
,,+4,,,FALSE,,SAVING THROWS,,,,,,,,,,TEMPORARY HIT POINTS,,,,,,,,,,,,,BONDS,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,I'd risk too much to uncover,,,,,,,,,,,,,,,,,,,,,,,,
,,18,,,,,〇,+5,Acrobatics,,, (Dex),,,,,1d6 6d8,,,,,,SUC.,〇,〇,〇,,,,a lost bit of knowledge.,,,,,,,,,,,,,,,,,,,,,,,,
,,16,2,,,,〇,+5,Animal Handling,,,,(Wis),,,,,,,,,,FAIL.,〇,〇,〇,,,,,,,,,,,,,,,,15,15,15,18,,,,,,,,,
,,INT,,,,,◉,+4,Arcana,,(Int) ,,,,,,HIT DICE,,,,,,DEATH SAVES,,,,,,,FLAWS,,,,,,,,,,,,,,,,,,,,,,,,
,,+1,,,,,〇,+0,Athletics,,,(Str)    ,,,,,,,,,,,,,,,,,,ALIGNMENT:,,,,,True Neutral,,,,,,,,,,,,,,,,,,,
,,,,,,,〇,+1,Deception,,,  (Cha) ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,13,,,,,〇,+1,History,,(Int)  ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,13,,,,,〇,+5,Insight,,   (Wis),,,,,,NAME,,,,,,,ATK BONUS,,,,DAMAGE/TYPE,,,,,,,,,,,,,,,,,,,,,,,,,,
,,WIS,,,,,〇,+1,Intimidation,,, (Cha),,,,,Scimitar,,,,,,,+8,,,,"1d6+5[slashing]|***Martial Melee Weapon Attack.***
Finesse, Light
",,,,,,,,,,,,,,Scimitar,1d6,slashing,Martial,Melee,〇,-,-,-,-,"Finesse, Light",◉,+5
,,+5,,,,,〇,+1,Investigation,,,  (Int),,,,,,,,,,,,-,,,,                 -,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,◉,+8,Medicine,,,(Wis)   ,,,,,,,,,,,,-,,,,                 -,,,,,,,,,,,,,,,,,,,,,,,,,,
,,20,,,,,〇,+1,Nature,, (Int),,,,,,,,,,,,,-,,,,                 -,,,,,,,,,,,,,,,,,,,,,,,,,,
,,19,,,,,◉,+8,Perception,,,(Wis),,,,,,,,,,,,-,,,,                 -,,,,,,,,,,,,,,,,,,,,,,,,,,
,,CHA,,,,,〇,+1,Performance,,,(Cha),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,+1,,,,,〇,+1,Persuasion,,,(Cha) ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,◉,+4,Religion,, (Int),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,13,,,,,〇,+5,Sleight of Hand,,,,(Dex),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,13,,,,,〇,+5,Stealth,,(Dex) ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,◉,+8,Survival,,  (Wis) ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,SKILLS,,,,,,,,,,ATTACKS & NOTES,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,18,,,PASSIVE WISDOM (PERCEPTION),,,,,,,,,,,,Common,,,,,,,,,,,Fine Clothes,,,,,,,,,,,,,,Fine Clothes,0,-,Clothes,-,-,-,-,-,-,-,,
,,,,,,,,,,,,,,,,,Elvish,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,Druidic,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,Draconic,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Armor Proficiencies:,,,,,,"Light, Medium, Shields (druids will not wear armor or use shields made of metal)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Weapon Proficiencies:,,,,,,"Club, Dagger, Dart, Javelin, Mace, Quarterstaff, Scimitar, Sickle, Sling, Spear, Longsword, Shortsword, Shortbow, Longbow",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,, Vehicle Proficiencies:,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,2 Tool Proficiencies:,,,,,,Herbalism kit,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Other Proficiencies:,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Other Speeds:,,,,,,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,PROFICIENCIES,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,LANGUAGES,,,,,,,,,,,EQUIPPED ITEMS,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,0,0,,,,,,,,,,
,,Background Feature,,,,,,,,,,,,,Class Features: Druid,,,,,,,,,,,,,Class Features: Draconic Sorcerer,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Life of Seclusion,,,,,,,,,,,,,Spellcasting: Spells known/Prepared,,,,,,,,,,,,,Draconic Ancestor: Silver,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Discovery,,,,,,,,,,,,,Ritual Casting,,,,,,,,,,,,,Draconic Resilience,,,,,,,,,,,,,,,,,,,◅ Language List,◅ Non-race Languages,◅ Backgrounds,◅ Associated Skills,◅ # of Languages,◅ Tool Proficiencies,◅ Vehicle Proficiencies,◅ Sorted for Menus
,,Racial Features,,,,,,,,,,,,,Wild Shape,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Darkvision,,,,,,,,,,,,,Druid Circle: Wildfire,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Keen Senses,,,,,,,,,,,,,Circle Spells,,,,,,,,,,,,,,,,,,,,,,,,,,,"Club, Dagger, Dart, Javelin, Mace, Quarterstaff, Scimitar, Sickle, Sling, Spear, Longsword, Shortsword, Shortbow, Longbow",,,,,,,,,,,,
,,Fey Ancestry,,,,,,,,,,,,,Summon Wildfire Spirit,,,,,,,,,,,,,,,,,,,,,,,,,,,"Light Armor, Medium Armor, Shields",,,,,,,,,,,,
,,Trance,,,,,,,,,,,,,Wild Companion: Find Familiar,,,,,,,,,,,,,,,,,,,,,,,,,,,TRUE,,,,,,,,,,,,
,,Elf Weapon Training,,,,,,,,,,,,,Enhanced Bond,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Mask of the Wild,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Common,Thieves' Cant,Acolyte,"Insight, Religion",2,0,0,Deep Speech
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Dwarvish,Druidic,Charlatan,"Deception, Sleight of Hand",0,2,0,Draconic
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Elvish,Deep Speech,Criminal,"Deception, Stealth",0,2,0,Druidic
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Halfling,,Entertainer,"Acrobatics, Performance",0,2,0,Dwarvish
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Draconic,,Folk Hero,"Animal Handling, Survival",0,1,1,Elvish
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Gnomish,,Guild Artisan,"Insight, Persuasion",1,1,0,Gnomish
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Orc,,Hermit,"Medicine, Religion",1,1,0,Halfling
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Infernal,,Noble,"History, Persuasion",1,1,0,Infernal
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Primordial,,Outlander,"Athletics, Survival",1,1,0,Orc
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Sage,"Arcana, History",2,0,0,Primordial
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Sailor,"Athletics, Perception",0,1,1,Thieves' Cant
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Soldier,"Athletics, Intimidation",0,1,1,
,,Feats,,,,,,,,,,,,,,,,,,,,,,,,,,Attunement Slots,,,,,,,,,,,,,,,,,,,,,Urchin,"Sleight of Hand, Stealth",0,2,0,
,,Aberrant Dragonmark: Mind Sliver/Missile,,,,,,,,,,,,,,,,,,,,,,,,,,Illuminator's Tattoo,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Durable,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,FEATURES & TRAITS     ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Right click and 'Insert note' to add details on any box.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,SPELLCASTING,,,,,,,SPELL,,,,,,,SPELL,,,,,,,,,,,,,,,,,,,,
,,Druid,,,,,,,,,,,,,,,,,,Wisdom,,,,,,,16,,,,,,,+8,,,,,,,,Druid,0,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Sorcerer,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,ABILITY,,,,,,,SAVE DC,,,,,,,ATTACK BONUS,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,◉,Primal Savagery,,,,,,,,,◉,,,,,,,,,,◉,Lightning Lure,,,,,,,,,,,,,,,,,,,,,
,,,,,CANTRIPS,,,,,,,◉,Shillelagh,,,,,,,,,◉,Mind Sliver,,,,,,,,,◉,Gust,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,◉,Guidance,,,,,,,,,◉,Dancing Lights,,,,,,,,,◉,Shape Water,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,◉,Burning Hands,,,,,,,,,◉,Beast Bond,,,,,,,,,◉,Shield,,,,,,,,,SLOTS,,,,MAX,,,,,,,,,,,,,,,,,,
,,◉,Cure Wounds,,,,,,,,,〇,Goodberry,,,,,,,,,◉,Sleep,,,,,,,,,4,,,,4,,,,,,,,,,,,,,,,,,
,,◉,Absorb Elements,,,,,,,,,◉,Ice Knife,,,,,,,,,◉,Magic Missile,,,,,,,,,,,,,,,,,,,4,,,,,,,,,,,,
,,◉,Healing Word,,,,,,,,,〇,,,,,,,,,,〇,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,◉,Faerie Fire,,,,,,,,,〇,,,,,,,,,,〇,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,MAX,,,,SLOTS,,,,◉,Flaming Sphere,,,,,,,,,◉,Protection from Poison,,,,,,,,,〇,,,,,,,,,,,,,,,,,,,,,,
,,,,3,,,,3,,,,◉,Scorching Ray,,,,,,,,,〇,,,,,,,,,,〇,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,◉,Wither and Bloom,,,,,,,,,〇,,,,,,,,,,〇,,,,,,,,,,3,,,,,,,,,,,,
,,,,,,,,,,,,◉,Moonbeam,,,,,,,,,〇,,,,,,,,,,〇,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,◉,Healing Spirit,,,,,,,,,〇,,,,,,,,,,〇,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,◉,Revivify,,,,,,,,,〇,,,,,,,,,,〇,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,◉,Plant Growth,,,,,,,,,〇,,,,,,,,,,〇,,,,,,,,,,3,,,,3,,,,,,,,,,,,,,,,,,
,,◉,Call Lightning,,,,,,,,,〇,,,,,,,,,,〇,,,,,,,,,,,,,,,,,,,,3,,,,,,,,,,,,
,,◉,Protection from Energy,,,,,,,,,〇,,,,,,,,,,〇,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,〇,,,,,,,,,,〇,,,,,,,,,,〇,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,〇,,,,,,,,,,〇,,,,,,,,,,〇,,,,,,,,,,,,,,,,,,,,,,
,,,,1,,,,,,,,〇,,,,,,,,,,〇,,,,,,,,,,〇,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,〇,,,,,,,,,,〇,,,,,,,,,,〇,,,,,,,,,,1,,,,,,,,,,,,
,,,,,,,,,,,,〇,,,,,,,,,,〇,,,,,,,,,,〇,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,〇,,,,,,,,,,〇,,,,,,,,,,〇,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,〇,,,,,,,,,,〇,,,,,,,,,,〇,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,〇,,,,,,,,,,〇,,,,,,,,,,〇,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,〇,,,,,,,,,,〇,,,,,,,,,,〇,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,〇,,,,,,,,,,〇,,,,,,,,,,〇,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,〇,,,,,,,,,,〇,,,,,,,,,,〇,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,〇,,,,,,,,,,〇,,,,,,,,,,〇,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,〇,,,,,,,,,,〇,,,,,,,,,,〇,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,〇,,,,,,,,,,〇,,,,,,,,,,〇,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,〇,,,,,,,,,,〇,,,,,,,,,,〇,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,〇,,,,,,,,,,〇,,,,,,,,,,〇,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,〇,,,,,,,,,,〇,,,,,,,,,,〇,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,〇,,,,,,,,,,〇,,,,,,,,,,〇,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,〇,,,,,,,,,,〇,,,,,,,,,,〇,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,〇,,,,,,,,,,〇,,,,,,,,,,〇,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,〇,,,,,,,,,,〇,,,,,,,,,,〇,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,〇,,,,,,,,,,〇,,,,,,,,,,〇,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,"During his life as a hermit, Fal spent a",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,121,,,6'3,,,145 lb.,,,Medium,,,,,,lot of time with the woman protecting,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,AGE,,,HEIGHT,,,WEIGHT,,,SIZE,,,,,,"the sanctury, Yavana.",,,,,,,,,,,,,,Yavana Dragonkeeper,,,,,,,,,,,,,,,,,,,,,,,
,,Male,,,Amber,,,Blond,,,Fair,,,,,,(More about this is explained in the ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,GENDER,,,EYES,,,HAIR,,,SKIN,,,,,,background doc),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,"Yavana grew up alone, her mother staying",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
